name,address,phone,licence_number
Корнилова Инк,"д. Архыз, ул. Рязанская, д. 507 к. 5/7, 389456",8 661 375 55 01,680548
"ЗАО «Кошелева, Тихонова и Корнилов»","к. Мичуринск, алл. Лесозаводская, д. 1 стр. 383, 269431",8 (329) 197-7115,213637
ООО «Соболева-Потапов»,"к. Гремячинск (Перм.), пер. Володарского, д. 9 стр. 1, 856416",8 (645) 679-19-82,447971
Интернешнл Пейпер (International Paper),"к. Нурлат, алл. Циолковского, д. 9, 707001",+7 226 020 6297,541633
Трест КХМ,"клх Черняховск, ул. Запрудная, д. 66 к. 215, 695377",8 (516) 040-10-39,996982
АО «Романова»,"ст. Качканар, ул. Зои Космодемьянской, д. 25 к. 96, 043208",+7 (134) 716-09-14,964919
ЗАО «Шилова»,"к. Ступино, пр. Ангарский, д. 3 стр. 1, 394223",89254742923,684714
"ООО «Щукина, Петрова и Казакова»","с. Нефтегорск (Самар.), пр. Южный, д. 169, 069086",+7 (746) 567-00-11,453588
АО «Федотова»,"клх Владимир, алл. Автомобилистов, д. 25 стр. 49, 526364",8 512 057 9142,119626
ОАО «Павлов-Кошелев»,"д. Истра, ул. Олимпийская, д. 218, 755035",+78243243305,392968
Кононов и партнеры,"г. Устюжна, ш. Халтурина, д. 9/7, 738707",+79842950612,318741
Сталепромышленная компания,"клх Луховицы, ш. Кутузова, д. 8, 815657",83689027442,435929
НПО «Крылова Баранов»,"к. Шуя, пр. 1 Мая, д. 3/7 стр. 626, 680179",8 (771) 143-94-61,721089
НПО «Харитонов»,"г. Тосно, алл. Максима Горького, д. 1/3 к. 41, 933897",+7 (368) 828-47-98,289537
Восточная горнорудная компания,"п. Старая Русса, бул. Астраханский, д. 24 стр. 2/9, 614870",+7 (434) 483-76-36,328344
"РАО «Буров, Капустин и Самойлов»","к. Терскол, пер. Фадеева, д. 616, 712398",+70690730116,491285
"ООО «Данилова, Воронова и Белозеров»","г. Армавир, бул. Нахимова, д. 8, 336360",+7 724 125 3791,999419
ЗАО «Евсеева»,"к. Вытегра, бул. Циолковского, д. 3/4 к. 888, 219998",8 813 958 99 79,665745
РАО «Орехова Осипова»,"п. Надым, наб. Дорожная, д. 9/5, 267689",8 969 097 7457,279077
Центр финансовых технологий,"ст. Джейрах, ш. Ленина, д. 751, 681639",8 862 763 55 48,265851
"РАО «Вишнякова, Лукин и Селезнев»","д. Плес, бул. Подлесный, д. 907, 068508",+7 374 441 49 23,345389
ООО «Устинов-Самойлов»,"г. Усть-Илимск, бул. Кооперативный, д. 9 к. 63, 649104",82779002420,650534
ЗАО «Яковлева»,"с. Руза, ул. Победа, д. 3, 268930",8 (920) 570-5280,847818
ЗАО «Крылов»,"п. Катайск, пр. Боровой, д. 5/5, 767890",+72913940232,684800
Группа Стройтрансгаз,"д. Верхний Уфалей, пр. Набережный, д. 1/8 к. 11, 398110",8 327 699 4793,618349
Устинова Групп,"к. Балашов, алл. Химиков, д. 80, 631011",8 (900) 259-49-88,959956
АО «Никитина»,"г. Нефтеюганск, наб. Гафури, д. 89, 693432",+77367914235,389222
Технологии машиностроения (Техмаш),"ст. Армавир, пер. Матросова, д. 8, 834159",8 781 777 87 35,159136
АО «Григорьев»,"к. Муравленко, пер. Кооперативный, д. 4/8 к. 21, 479281",+7 (420) 615-32-24,731537
ОАО «Корнилова-Орлова»,"клх Чермоз, ул. Коллективная, д. 41, 072595",8 (379) 172-61-63,550364
ОАО «Сидоров-Маркова»,"д. Советский, ул. Подстанция, д. 3/2, 789402",+79123552128,852911
ИП «Шилова-Ермакова»,"п. Магас, пер. Королева, д. 2/5, 314908",+7 (535) 830-66-52,553057
"НПО «Никитин, Богданов и Моисеева»","п. Урай, наб. Индустриальная, д. 27, 948553",8 (422) 111-4097,646515
НПО «Гурьева»,"с. Гусь-Хрустальный, пер. Таманский, д. 6/7 стр. 3/2, 923234",+7 (088) 434-7908,342373
Шубина Инкорпорэйтед,"п. Елатьма, бул. Восточный, д. 2/5 стр. 1, 889546",8 664 244 4142,410650
Группа Газфонд,"г. Джубга, бул. Белинского, д. 6/5 к. 2, 452110",8 271 202 52 38,733082
Гуляев Лимитед,"п. Саратов, алл. Гоголя, д. 407 к. 8, 349774",89644284823,420229
Билла (Rewe),"к. Сарапул, пр. Сурикова, д. 1/8 стр. 12, 887906",+77385051663,400693
НПО «Горшков-Шубина»,"с. Усть-Кулом, наб. Воровского, д. 8/8 к. 312, 775763",+7 369 271 2176,684869
Кононов Инк,"с. Апшеронск, ул. Малая, д. 3 стр. 5/7, 189953",8 165 111 5518,382568
ОАО «Николаев-Цветков»,"п. Иркутск, ул. Тургенева, д. 2 стр. 4/6, 129319",+7 231 189 6486,754554
Сандоз (Sandoz),"к. Хабаровск, алл. Заозерная, д. 1/7 стр. 48, 743164",+7 652 337 65 79,977337
"РАО «Лукин, Виноградова и Лебедева»","ст. Карабулак, бул. Беляева, д. 4 стр. 41, 941547",+79096418968,884178
ОАО «Захарова Тимофеев»,"г. Вязьма, бул. Лазо, д. 53, 610933",+7 (012) 657-1684,228884
НПО «Константинов-Морозова»,"с. Шаховская, пер. Иванова, д. 37 к. 652, 052470",+73999100441,571611
АО «Гуляев»,"с. Верхнее Пенжино, пр. Есенина, д. 16 стр. 47, 573337",8 186 075 40 18,716439
ОАО «Некрасова-Харитонов»,"д. Гатчина, пер. Угловой, д. 6/6 к. 34, 337715",88896473511,208211
"АО «Исаев, Рогова и Федоров»","клх Макушино, бул. Тупиковый, д. 8/4 стр. 24, 065117",+7 (772) 371-23-75,785611
"ИП «Федоров, Наумова и Орлова»","клх Кизел, пер. Строителей, д. 7/3 к. 23, 023925",8 221 524 5457,638579
ЗАО «Прохоров Игнатьев»,"клх Великий Устюг, ул. Учительская, д. 667, 512265",8 800 031 09 39,592407
Коновалов и партнеры,"г. Терскол, пр. Котовского, д. 916 к. 5, 585585",+71900580695,768941
ОАО «Шестаков»,"г. Ставрополь, пр. Глинки, д. 678 стр. 2/1, 381142",8 738 947 1876,500793
Савельева Лимитед,"г. Красногорск (Моск.), пер. Королева, д. 22, 818960",8 123 686 0920,182450
ТЭК СПБ,"с. Подольск, пер. Саратовский, д. 11 стр. 6, 007312",8 (434) 591-70-98,871795
ОАО «Фомичева Фролов»,"г. Боровск, пер. Машиностроителей, д. 20 к. 7, 534173",+7 503 464 12 54,878561
ОАО «Гущина Дорофеева»,"п. Токма, бул. Космонавтов, д. 5/7 стр. 571, 838819",+7 (989) 478-80-47,710446
ОАО «Евсеев Захаров»,"д. Химки, бул. Смирнова, д. 93 стр. 30, 959711",+72821037181,532041
ИП «Лапин-Киселев»,"с. Невельск, наб. Станиславского, д. 926, 301351",8 545 698 6241,963636
"РАО «Пахомова, Егоров и Рыбаков»","клх Камень-на-Оби, пер. Почтовый, д. 62 к. 117, 448984",8 (754) 224-02-29,272980
ИП «Хохлова»,"к. Железногорск(Курск.), бул. Социалистический, д. 1/8, 714113",+7 954 334 39 78,803004
"РАО «Бобров, Савина и Доронина»","клх Елабуга, наб. Шахтерская, д. 828 к. 236, 890254",8 (557) 908-2184,965227
Мишина Лимитед,"с. Чебаркуль, ш. Панфилова, д. 5/3 к. 1/2, 667631",8 615 703 10 34,190174
"АО «Кошелева, Денисов и Фомин»","д. Морозовск, ш. Привокзальное, д. 4, 822266",+7 (596) 908-50-53,539110
Прохоров Лимитед,"ст. Чусовой, ул. Калинина, д. 10, 586375",8 (139) 836-4253,974761
"ЗАО «Исаева, Соколова и Рябова»","г. Бреды, пер. Советской Армии, д. 954 к. 1/9, 815168",+7 122 114 2296,565782
Промышленно-металлургический холдинг,"клх Гаврилов-Ям, бул. Пугачева, д. 8 к. 88, 967398",8 531 940 95 61,286928
Макдоналдc (McDonald`s),"г. Колпашево, пер. Майский, д. 7/7, 990244",8 (394) 207-5448,635611
Россельхозбанк,"п. Губаха, наб. Революции, д. 82 стр. 3/7, 599915",+7 638 407 4725,230203
"ООО «Лихачев, Борисова и Юдина»","г. Калачинск, ул. Флотская, д. 2 к. 9/1, 976103",+7 (314) 150-50-41,149464
"ООО «Матвеева, Мартынова и Русакова»","с. Гатчина, наб. Стадионная, д. 5/4 к. 7, 613705",+7 (750) 501-78-11,860416
ОАО «Гурьева Голубева»,"п. Верещагино (Перм.), бул. Черемуховый, д. 272 стр. 2/2, 719678",+7 (418) 529-05-55,571450
РАО «Баранов»,"г. Ивдель, ш. Куйбышева, д. 2 стр. 70, 326600",8 172 875 75 33,357834
"ИП «Ширяев, Куликов и Потапова»","клх Соликамск, наб. Кутузова, д. 9 к. 5/7, 714488",+7 246 304 9845,924850
ОАО «Афанасьева Гусева»,"д. Елабуга, алл. Высокая, д. 97 к. 87, 577513",87078751361,596997
Банк Возрождение,"д. Дагомыс, пр. Ульянова, д. 1 стр. 84, 423276",+7 414 773 38 55,905261
Fix Price,"д. Чебоксары, наб. Огородная, д. 8 к. 43, 460103",8 222 606 6646,231930
РАО «Федосеев»,"п. Ставрополь, ш. Производственное, д. 1/8 стр. 6, 176350",+7 278 728 9279,342033
Спортмастер,"ст. Далматово, ул. Невского, д. 8 стр. 59, 616690",+74960320698,799580
ИП «Фомичев»,"г. Ардон, ш. Депутатское, д. 9/4 к. 68, 247623",85766079390,866596
РАО «Потапов»,"с. Корсаков, ш. Восьмого Марта, д. 9 стр. 7/6, 166599",+7 527 868 0521,523630
"АО «Максимов, Морозов и Комарова»","с. Соль-Илецк, ш. Механизаторов, д. 69 стр. 44, 610607",81804670483,984070
РАО «Герасимов»,"клх Джубга, бул. Культуры, д. 798, 381623",+70591420471,653758
"ООО «Логинов, Мамонтов и Юдина»","п. Лысьва, пер. Минина, д. 7/4, 768757",+78283495798,382157
ООО «Артемьев-Филиппова»,"г. Белгород, бул. Крестьянский, д. 7/8 стр. 12, 727676",8 124 110 8401,417483
А.П.Р.,"с. Кропоткин (Краснод.), ул. Логовая, д. 85 к. 6/5, 907940",+7 707 035 3038,352458
ЗАО «Брагина Авдеева»,"г. Ессентуки, ш. Демьяна Бедного, д. 260 к. 97, 167330",+7 (720) 238-45-82,901786
ОАО «Казакова»,"к. Новочеркасск, алл. Высоцкого, д. 738 к. 4, 123264",+7 (431) 739-36-38,968083
ИП «Гордеева-Пахомов»,"г. Славгород, алл. 40 лет Победы, д. 32, 588918",8 723 023 3498,453334
ЗАО «Пестов-Архипов»,"ст. Каневская, бул. Специалистов, д. 288 к. 616, 855903",8 663 357 1693,659332
ООО «Рыбаков-Блинов»,"п. Андреаполь, ш. Блюхера, д. 6 к. 5/8, 531807",82496134222,465855
Автотор холдинг,"к. Ялуторовск, алл. Прохладная, д. 2/6 к. 8, 407233",8 789 001 02 80,794579
ООО «Игнатьев-Шаров»,"д. Торжок, алл. Молодежная, д. 7, 807138",+7 971 891 17 47,669271
"ИП «Рогова, Ковалев и Калинина»","к. Усть-Ишим, алл. Вавилова, д. 518, 601245",8 (193) 726-4460,847778
ООО «Соколов Кондратьев»,"ст. Плесецк, бул. Жданова, д. 4 стр. 7, 023458",+71682853623,396413
НПО «Анисимов»,"п. Урюпинск, пр. Энтузиастов, д. 2/2, 022037",+7 805 239 7951,613735
АО «Третьякова-Петров»,"клх Уссурийск, ул. Алтайская, д. 792, 412306",8 (285) 807-28-45,625749
НПО «Рогов-Фомин»,"с. Нарьян-Мар, бул. Дружба, д. 2/8 стр. 6/5, 004581",8 731 183 57 93,316975
Тетра Пак (Tetra Pak),"г. Усть-Кулом, пр. Толстого, д. 6/7 стр. 2, 171389",8 (412) 291-6206,213585
АО «Голубева»,"ст. Заводоуковск, пр. Тихий, д. 807 к. 38, 851173",+7 (529) 387-4328,192356
РАО «Фомичева»,"с. Челюскин, ш. Белорусское, д. 4/8, 372031",+7 722 909 3908,359686
ООО «Котов-Сергеева»,"д. Зеленогорск (Ленин.), наб. Пушкина, д. 34, 582740",+7 (608) 209-95-83,613711
АльфаСтрахование,"с. Норильск, ул. Ключевая, д. 6, 269850",88226699456,732769
Наумова Инкорпорэйтед,"п. Теберда, ул. Энергетиков, д. 75 к. 92, 316079",88853506352,505901
Лыткина Инкорпорэйтед,"г. Хасавюрт, пер. 60 лет СССР, д. 7/1 стр. 982, 777366",+78895657804,495083
ЗАО «Николаев-Зуева»,"п. Макаров, бул. Энергетический, д. 93, 294345",+7 (502) 467-85-74,588920
Суханова и партнеры,"клх Камень-на-Оби, бул. Кузнецова, д. 6, 095134",8 (984) 946-14-53,909405
"ОАО «Котова, Осипова и Александров»","к. Радужный, бул. Юбилейный, д. 2 стр. 960, 536214",8 559 548 03 89,912574
"ЗАО «Крылов, Соколова и Архипова»","д. Шелагонцы, ул. Радужная, д. 46 к. 441, 999955",8 181 094 5875,776572
НПО «Гордеев Федосеева»,"ст. Макаров, бул. Космодемьянской, д. 715 к. 50, 826879",8 588 783 6108,435687
Петров Инк,"клх Чехов, бул. Вокзальный, д. 6/3 к. 103, 558966",8 (000) 337-0513,520210
Исаева Лимитед,"д. Ачинск, наб. М.Горького, д. 2/8 стр. 109, 554521",87608561541,725501
Панова Инкорпорэйтед,"г. Сочи, наб. Павлова, д. 219, 398543",84408072902,665470
РАО «Григорьев»,"п. Благовещенск (Амур.), пр. Дорожный, д. 463, 135675",8 (731) 285-1894,935142
"РАО «Ермаков, Логинова и Зыкова»","д. Суздаль, наб. Машиностроителей, д. 7/7, 066063",+7 174 515 9194,294325
НПО «Федорова-Филатова»,"к. Серафимович, бул. Революционный, д. 5/8, 761616",8 543 773 47 71,763213
"ЗАО «Анисимов, Попова и Морозова»","с. Златоуст, наб. Дружба, д. 9/7 к. 5, 697146",+7 (880) 370-29-08,508275
ООО «Кузьмин»,"д. Кяхта, ул. Песочная, д. 625, 109110",+7 (988) 187-30-97,167463
ЗАО «Гаврилов Данилова»,"с. Шенкурск, пер. Энергетиков, д. 89, 255972",8 (803) 003-04-57,981350
Гурьева Лимитед,"г. Старая Русса, ш. Кленовое, д. 43 стр. 238, 121254",+7 (377) 536-94-04,581614
НПО «Щербаков»,"к. Нефедова, пер. Сосновый, д. 3, 143499",8 (872) 020-37-08,723314
"ЗАО «Зуев, Белякова и Комиссарова»","клх Новочеркасск, ул. Терешковой, д. 1/9 к. 300, 103605",+7 439 103 1255,368914
Филиппова Инкорпорэйтед,"г. Таштагол, пр. Детский, д. 5/3 стр. 76, 949894",+7 (983) 431-03-88,529530
ОАО «Муравьева»,"к. Печора, ш. Кузнецова, д. 470 к. 52, 731412",80645943894,394154
Мазда Соллерс Мануфэкчуринг Рус,"с. Оха, пер. Советов, д. 9 к. 2/8, 571276",+73767837337,838658
"ЗАО «Доронина, Кабанова и Дроздов»","к. Алдан, наб. Минская, д. 59 к. 381, 384230",+7 025 058 98 09,347000
"ИП «Фадеева, Зуев и Селезнева»","с. Каргополь, алл. Циолковского, д. 957, 178921",8 (251) 216-07-93,175878
ООО «Кабанова Жданов»,"д. Алексин, пер. Волжский, д. 879, 414837",8 054 931 9772,666314
РАО «Родионов Белозеров»,"г. Нижний Тагил, наб. Донская, д. 5/2, 072521",8 (155) 594-0541,321828
НПО «Гуляев»,"клх Тарко-Сале, ш. Кавказское, д. 9, 373637",+7 (711) 252-9778,187966
РАО «Денисова»,"с. Вязьма, ул. Куйбышева, д. 33 стр. 3/3, 224583",+7 (468) 157-63-61,750445
ОАО «Боброва-Гусев»,"д. Токма, алл. Толстого, д. 2/1, 824655",8 825 901 4141,907077
Лыткин Лимитед,"г. Далматово, алл. Ворошилова, д. 9, 768959",8 753 939 31 52,386651
Копылова Лимитед,"с. Сусуман, алл. Локомотивная, д. 1/5 к. 8/8, 623665",85017849562,831642
Краснодарзернопродукт-Экспо,"д. Кырен, пр. Вольный, д. 3 стр. 1/5, 744598",+7 (511) 330-23-69,522815
Сазонова Групп,"клх Нарьян-Мар, бул. Гвардейский, д. 7/6, 219731",+7 (386) 867-04-69,216730
"АО «Лазарев, Павлова и Лыткина»","с. Лысьва, ш. Орловское, д. 8/2, 057508",+7 493 988 10 29,774868
Нефтетранссервис,"д. Ногинск (Моск.), пер. Маяковского, д. 2/7 к. 5, 472836",8 (743) 012-33-10,197987
ОАО «Фомичева»,"с. Нижнекамск, бул. Приозерный, д. 253 к. 9, 437295",+73456955646,207577
АО «Виноградов»,"к. Мураши, пер. Логовой, д. 713 стр. 858, 154830",+7 (378) 634-91-18,195372
"НПО «Кулакова, Белоусов и Захарова»","с. Архыз, наб. Громова, д. 1 к. 5, 397901",8 (651) 895-37-55,310655
ОАО «Гордеева Исаева»,"г. Певек, пер. Ясный, д. 286, 719533",8 (063) 043-58-66,909631
Карелия Палп,"д. Бронницы, наб. Гражданская, д. 76 стр. 40, 633622",+7 (874) 173-29-95,169133
РАО «Дроздов Алексеева»,"п. Саратов, бул. Шмидта, д. 7 к. 220, 293424",86724233728,468988
Логинова Групп,"д. Белорецк, пр. Республиканский, д. 445, 393478",+7 (956) 920-9473,565155
КРКА Фарма (KRKA),"ст. Волгодонск, ш. Гагарина, д. 3, 177348",+7 071 290 97 43,568158
Лукина Групп,"к. Кулунда, ул. Ручейная, д. 115 к. 3/9, 509630",+7 (548) 998-7838,891360
Баранова Инкорпорэйтед,"клх Муром, ул. Шмидта, д. 81 стр. 4, 006612",8 488 713 5448,103064
НПО «Бирюков»,"п. Шали, бул. Ленина, д. 50, 852671",82161225123,757076
Исакова Инк,"ст. Кулунда, наб. Волгоградская, д. 797 к. 1/9, 441122",+7 937 079 33 35,544910
Зайцев Инкорпорэйтед,"клх Ирбит, бул. Правды, д. 160, 289430",8 (033) 127-37-85,806009
АО «Пестова»,"п. Усть-Илимск, наб. Песчаная, д. 3/9, 840875",+7 (184) 484-9821,694815
ИП «Макаров»,"д. Оха, ш. Блюхера, д. 97, 006663",84222836692,982918
ООО «Лазарев»,"ст. Тавда, пр. Портовый, д. 18, 214156",+7 (011) 653-26-77,571339
Группа ЛСР,"ст. Арсеньев, ш. Овражное, д. 2, 370917",8 (686) 146-97-42,662193
Корпорация Гринн,"п. Шатой, ул. Специалистов, д. 3/5 стр. 8/3, 100154",+7 199 054 2155,895607
АО «Орлов Власов»,"г. Эльтон, наб. Березовая, д. 19, 926653",+7 515 517 57 94,714891
"РАО «Филиппова, Носов и Быкова»","д. Карабудахкент, бул. Карбышева, д. 23, 257423",8 345 518 36 03,985456
Дементьева Лтд,"г. Таганрог, бул. Майский, д. 48, 383695",+7 (117) 168-0071,261394
ЗАО «Петухова Носков»,"д. Нарьян-Мар, пр. Торговый, д. 5 стр. 126, 172854",8 (749) 882-40-48,150196
НПО «Блинов Голубева»,"с. Губкинский, ш. Крестьянское, д. 6 стр. 902, 691819",+75235588909,197287
ОАО «Носова Селезнева»,"с. Сыктывкар, бул. Краснознаменный, д. 8/7 к. 36, 897549",8 (611) 558-61-08,961808
"РАО «Федорова, Михайлов и Белозерова»","к. Дивногорск, ул. Ульяновская, д. 9/8 к. 5, 957262",+7 104 096 5582,878998
ООО «Абрамова»,"г. Курск, ул. Степная, д. 572 к. 1, 964609",+7 (067) 383-4846,486606
ЗАО «Щербакова-Козлова»,"п. Обнинск, бул. Труда, д. 3/5, 576270",8 (526) 857-72-66,879006
"ОАО «Константинова, Исаков и Дорофеев»","г. Миллерово, пр. Станционный, д. 20, 883184",+7 958 619 43 40,562157
АО «Кудряшов Артемьев»,"д. Луга, ш. Луговое, д. 9/5 стр. 60, 027470",+7 460 482 3117,818669
ООО «Капустин»,"с. Хасан, бул. Водопроводный, д. 44 стр. 3, 960371",81532086805,574650
ООО «Соболев-Жуков»,"п. Азов (Рост.), пр. Приозерный, д. 3/8, 568978",+7 (908) 111-4774,195261
Стрелков Инк,"ст. Ханты-Мансийск, пер. Кирова, д. 4/8 к. 2/8, 299304",+76867870974,236475
АО «Пономарева-Суворова»,"клх Кемерово, бул. Слободской, д. 4/3, 655462",89678414048,404234
Панова Групп,"клх Щелково, пер. Безымянный, д. 65 к. 569, 780730",8 (428) 456-8417,202263
НПО «Евдокимова-Дмитриева»,"ст. Чегем, ул. Полтавская, д. 7/2 к. 833, 686946",+7 (468) 469-80-36,339228
РАО «Лыткин-Крылов»,"ст. Лодейное Поле, ул. Энергетическая, д. 142 стр. 6, 409242",+7 251 366 7841,185947
ООО «Соколов»,"к. Ростов-на-Дону, наб. Кузнецова, д. 2, 101574",+7 668 396 15 86,126389
ЗАО «Кириллов Вишнякова»,"ст. Новороссийск, ул. Механическая, д. 49 к. 1, 942842",8 403 548 5274,902860
МУМТ (BAT),"с. Зеленогорск (Ленин.), пер. Запорожский, д. 832 к. 45, 558995",+7 961 349 7176,840593
Астеллас Фарма,"клх Новороссийск, ул. Щорса, д. 3/2 к. 47, 799880",81267611627,450218
НИПИ НГ Петон,"п. Новый Уренгой, бул. Транспортный, д. 292 к. 98, 329083",8 922 362 8156,651576
АО «Беляков»,"д. Красноселькуп, бул. Светлый, д. 67 стр. 4, 842648",+7 440 860 36 53,922430
ИП «Селиверстова-Гуляев»,"д. Юрьевец (Иван.), бул. Донской, д. 5/2, 983602",+7 336 341 6444,813371
Муравьев Лтд,"с. Карпинск, ул. Центральная, д. 9 стр. 436, 022993",+7 (057) 346-72-78,663561
"ООО «Авдеев, Казакова и Антонов»","с. Александровск, ш. Ярославское, д. 1 к. 90, 014605",8 (146) 235-80-82,146366
ООО «Третьякова»,"к. Щельяюр, бул. Весенний, д. 56 стр. 49, 855956",89340060554,408875
Сысоев и партнеры,"п. Камень-на-Оби, ш. Придорожное, д. 705 к. 1, 004387",8 215 061 64 37,483493
РАО «Белоусова-Юдина»,"клх Белогорск (Амур.), пр. Терешковой, д. 35 стр. 984, 570127",+7 190 776 0499,678224
НПО «Фадеева»,"к. Стрежевой, бул. Л.Толстого, д. 1 к. 401, 221461",+7 (789) 905-1728,960483
Волков Инк,"п. Данков, ш. Поселковое, д. 75, 656270",+75996757992,474324
Сысоева и партнеры,"д. Ростов-на-Дону, пер. Крестьянский, д. 1 стр. 14, 768574",+7 601 365 78 88,756519
ООО «Алексеев Андреева»,"клх Елец, наб. Седова, д. 99 стр. 7, 637606",8 (812) 482-75-30,198746
АО «Молчанова»,"д. Лабытнанги, алл. Куйбышева, д. 7/7, 275443",+7 270 167 2143,875655
Старттех,"г. Змеиногорск, ул. Нижняя, д. 1 стр. 20, 931752",8 (009) 201-85-73,419737
РАО «Селиверстова-Михеев»,"д. Челябинск, пр. Чехова, д. 78, 327360",+75116081423,590581
Киселева Инк,"к. Бологое, пр. Курский, д. 3 стр. 9/7, 919346",+7 603 452 3203,564258
"ИП «Дорофеев, Федотов и Панова»","с. Буденновск, ш. Курское, д. 283 к. 67, 375680",+75225906460,861545
РАО «Коновалова-Егорова»,"г. Рязань, бул. Коммунистический, д. 62 к. 13, 421535",+75420501591,981972
Игнатьев Инк,"к. Кяхта, ул. Рязанская, д. 7 к. 56, 276665",8 (177) 100-71-21,855606
"ОАО «Лапина, Исакова и Лыткин»","клх Тура, ш. Тукая, д. 4/6, 236747",+7 532 558 71 42,536940
Сафонов Лтд,"д. Ульяновск, пер. Ярославский, д. 71 стр. 4, 634244",8 (348) 794-37-26,148357
Уральские локомотивы,"п. Кирово-Чепецк, пер. Высоцкого, д. 99 стр. 2, 577774",85638461982,313952
АО «Боброва-Родионов»,"с. Челюскин, ул. Чайковского, д. 6/4, 858159",+7 (804) 923-06-66,937059
АО «Емельянов»,"ст. Белый Яр (Томск.), пр. Тихий, д. 84 к. 1, 675917",8 165 053 8050,638707
